sector_key,label,series_id,ai_adoption_current_pct,emp_latest_thousands,ann_growth_post_pct,ann_growth_trend_pre_pct,ann_growth_rel_to_trend_pp,end_date,emp_change_2023_to_t_pct_of_avg2019_emp,emp_change_2023_to_t_pct_of_avg2022_emp,emp_pct_change_since_2023_01,annualized_emp_growth_since_post_pct,annualized_log_emp_growth_2023_to_t_pct,avg_monthly_change_last3_minus_trend_pct_of_avg2022_emp,emp_change_2023_to_t_pct_of_total_avg2022_emp,avg_monthly_change_last3_pct_of_avg2022_emp
accommodation_and_food_services,Accommodation and Food Services,CES7072000001,25.379999999999995,14320.3,0.4515340874766187,-0.43453875023897853,0.8860728377155973,2026-01-01,2.7649069502468615,2.894594734545019,2.809246894967329,0.6807574607969213,0.9235037775944415,0.20666564199811227,0.25650782912632253,0.17161921247493783
administrative_and_support_and_waste_management_and_remediation_services,Administrative & Support + Waste Mgmt,CES6056000001,44.38,9003.6,-1.5687868765013084,0.3843840207355518,-1.9531708972368602,2026-01-01,-5.3489820333601035,-5.230012029342156,-5.250197316495655,-1.3136725397294158,-1.7976808174573458,0.13524894015436256,-0.3270425656813761,0.16668108091108758
arts_entertainment_and_recreation,"Arts, Entertainment, and Recreation",CES7071000001,31.629999999999995,2661.9,1.990257525925411,-0.1441052566053791,2.13436278253079,2026-01-01,9.796804736556364,10.335660405904854,9.868746904408118,1.4059398900372333,3.1372085800869844,-0.5080977007968956,0.15673657537465832,-0.5144055158104023
construction,Construction,CES2000000001,31.629999999999995,8308.0,0.7973308038994681,1.933604763162821,-1.1362739592633528,2026-01-01,5.017961008485604,4.843540335999141,4.740292486132123,1.1323309769395662,1.543789845210545,0.12378089152580135,0.24647826156784422,0.27910471794321295
educational_services,Educational Services (Private),CES6561000001,46.94,4060.4,1.5624760490237983,0.4527342912755969,1.1097417577482014,2026-01-01,7.521073701178701,7.490620093843411,7.449257720500675,1.5473539561205785,2.394950964596796,0.0789510340328118,0.18453093253018124,0.11708251656451754
finance_and_insurance,Finance and Insurance,CES5552000001,62.61,6721.5,0.4021465958088706,1.1860279619796945,-0.7838813661708239,2026-01-01,0.09792771483864231,0.09434762857984627,0.09381701215153952,0.1775153739592472,0.03125767716603481,-0.17745510788474,0.0041298219358443175,-0.08136858972759085
health_care_and_social_assistance,Health Care and Social Assistance,CES6562000001,32.79,23718.1,3.400208748875449,1.240597046632666,2.159611702242783,2026-01-01,12.80373885172002,12.705460424114701,12.388881517845297,3.606510863039536,3.893160923277476,0.2733161389159814,1.7138761033753422,0.37629609951193166
information,Information,CES5000000001,75.38,2834.0,-2.0695647048682986,1.2416497473161865,-3.311214452184485,2026-01-01,-7.9266695766041035,-7.411841532433609,-7.415877164325384,-2.201071365175611,-2.5684172898262236,-0.3058911066721457,-0.1488046951486719,-0.2067914671310405
management_of_companies_and_enterprises,Management of Companies,CES6055000001,50.97999999999999,2621.3,0.25697716624488215,1.0609015519941591,-0.803924385749277,2026-01-01,1.0447805662869645,1.0326346580461159,1.0134874759152286,0.10316174297404501,0.3361287101026022,-0.13791853881385793,0.017240367763921138,-0.051042777774137495
manufacturing,Manufacturing,CES3000000001,47.13,12590.0,-1.187738283377777,0.3362932976107923,-1.5240315809885692,2026-01-01,-2.4493628787187145,-2.451345107099503,-2.425792451367899,-1.1129898485193856,-0.8185664804484398,-0.0617787400234805,-0.20518004220940222,-0.033937685188811004
mining_quarrying_and_oil_and_gas_extraction,Mining and Logging,CES1000000001,36.54,603.0,-2.2934499565340416,-2.7966229137366008,0.5031729572025592,2026-01-01,-4.26605504587156,-5.123261258779782,-4.889589905362776,-2.3984305929925065,-1.6710585903346835,0.08690169626273632,-0.020321346033519073,-0.16526649221870265
other_services_except_public_administration,Other Services (ex. Public Admin),CES8000000001,32.52,6028.0,0.7495220245396946,-0.27549141147879225,1.0250134360184868,2026-01-01,4.125344839782132,4.267212994805005,4.200518582541054,0.9336171206935306,1.3715640039536352,0.19262653918236292,0.15929313181113336,0.1697519572693349
professional_scientific_and_technical_services,"Professional, Scientific, Technical Svcs",CES6054000001,61.56,10815.4,-0.14760488432981692,2.8636696664078607,-3.0112745507376775,2026-01-01,1.2797090934519804,1.1620181970144705,1.1408906428264163,0.038856150451915816,0.37814385547958074,-0.02988584569950801,0.07997432955126861,0.1946221734343885
public_administration,Government (proxy for Public Admin),CES9000000001,30.510000000000005,23301.0,0.419359959566086,0.037682389274124754,0.38167757029196125,2026-01-01,3.613152405451423,3.6802354389705547,3.6336950720512364,0.347279439578263,1.1897444321930506,-0.1370560502325888,0.5355657970769381,-0.13363564017477741
real_estate_and_rental_and_leasing,"Real Estate, Rental, Leasing",CES5553000001,37.76,2440.6,-0.16955540323670398,1.5530846143806096,-1.7226400176173136,2026-01-01,0.5301495625188452,0.5162012345463015,0.5065272000988232,-0.5344860604768464,0.16841622222405814,-0.1988421704686748,0.008062985684267067,-0.07274380541032434
retail_trade,Retail Trade,CES4200000001,39.35,15402.9,-0.3649286009040509,-0.32529985881949836,-0.039628742084552526,2026-01-01,-0.9543377674026746,-0.9576196312024374,-0.9542610585610184,-0.3908048687150778,-0.31961443458497457,-0.048132769269753045,-0.09728025004432977,-0.07549966095059744
transportation_and_warehousing,Transportation and Warehousing,CES4300000001,38.69,6548.0,-0.16543989236170986,4.2642774193247535,-4.429717311686463,2026-01-01,-1.1702891302557135,-1.0034431874077745,-1.002373644981331,-0.11053728293077825,-0.33581041176226967,-0.6762079169915447,-0.04346145942007478,-0.3586968859964451
